"","Beer","Brewery","Location","Style","Size","ABV","IBU"
"1259","Two-One Niner","Laughing Dog Brewing Company","Ponderay, ID","American Pilsner","12 oz.","4.8%","9"
"1260","Laughing Dog IPA","Laughing Dog Brewing Company","Ponderay, ID","American IPA","12 oz.","6.4%","66"
"1261","Hazed & Infused","Boulder Beer Company","Boulder, CO","American Pale Ale (APA)","12 oz.","4.9%","35"
"1262","Old Forge Pumpkin Ale","Old Forge Brewing Company","Danville, PA","Pumpkin Ale","16 oz.","4.6%","20"
"1263","Cascadian Dark Ale","Coalition Brewing Company","Portland, OR","American Black Ale","12 oz.","6.0%","75"
"1264","Sanitas Saison Ale","Sanitas Brewing Company","Boulder, CO","Saison / Farmhouse Ale","12 oz.","5.8%","20"
"1265","Sanitas Black IPA","Sanitas Brewing Company","Boulder, CO","American Black Ale","12 oz.","6.8%","65"
"1266","Double D Blonde (2013)","Hop Valley Brewing Company","Springfield, OR","American Blonde Ale","12 oz.","4.9%","20"
"1267","Osiris Pale Ale","Sun King Brewing Company","Indianapolis, IN","American Pale Ale (APA)","16 oz.","5.6%","50"
"1268","The Crisp","Sixpoint Craft Ales","Brooklyn, NY","German Pilsener","16 oz.","5.4%","42"
"1269","Sweet Action","Sixpoint Craft Ales","Brooklyn, NY","Cream Ale","16 oz.","5.2%","34"
"1270","Righteous Ale","Sixpoint Craft Ales","Brooklyn, NY","Rye Beer","16 oz.","6.3%","57"
"1271","Bengali Tiger","Sixpoint Craft Ales","Brooklyn, NY","American IPA","16 oz.","6.4%","62"
"1272","Elephant Rock IPA","Pikes Peak Brewing Company","Monument, CO","American IPA","12 oz.","7.0%","75"
"1273","Beaver Logger","Gore Range Brewery","Edwards, CO","American Pale Lager","12 oz.","5.2%","19"
"1274","Crank Yanker IPA","Eddyline Brewery & Restaurant","Buena Vista, CO","American IPA","16 oz.","7.8%","74"
"1275","Endless Sun Ale","Old Forge Brewing Company","Danville, PA","American Pale Wheat Ale","16 oz.","4.5%","N/A"
"1276","Harpoon Summer Beer","Harpoon Brewery","Boston, MA","Kölsch","12 oz.","5.0%","28"
"1277","Harpoon IPA","Harpoon Brewery","Boston, MA","American IPA","12 oz.","5.9%","42"
"1278","Totally Roasted","Vander Mill Ciders","Spring Lake, MI","Cider","16 oz.","6.8%","N/A"
"1279","Blue Gold","Vander Mill Ciders","Spring Lake, MI","Cider","16 oz.","6.8%","N/A"
"1280","Hard Apple","Vander Mill Ciders","Spring Lake, MI","Cider","16 oz.","6.8%","N/A"
"1281","Nectar of the Hops","Redstone Meadery","Boulder, CO","Mead","16 oz.","8.0%","N/A"
"1282","Sunshine Nectar","Redstone Meadery","Boulder, CO","Mead","16 oz.","8.0%","N/A"
"1283","Black Raspberry Nectar","Redstone Meadery","Boulder, CO","Mead","16 oz.","8.0%","N/A"
"1284","Yellow Collar","Blue Dog Mead","Eugene, OR","Mead","12 oz.","5.9%","N/A"
"1285","Green Collar","Blue Dog Mead","Eugene, OR","Mead","12 oz.","5.9%","N/A"
"1286","Ruhstaller's Gilt Edge Lager Beer","Ruhstaller Beer Company","Sacramento, CA","American Amber / Red Lager","12 oz.","4.8%","42"
"1287","Gwar Beer","Cigar City Brewing Company","Tampa, FL","American Pale Ale (APA)","12 oz.","5.5%","N/A"
"1288","Bourbon Barrel Aged Timmie","Sun King Brewing Company","Indianapolis, IN","Russian Imperial Stout","16 oz. Alumi-Tek®","9.9%","75"
"1289","Stupid Sexy Flanders","Sun King Brewing Company","Indianapolis, IN","Flanders Oud Bruin","16 oz. Alumi-Tek®","6.3%","23"
"1290","Pumple Drumkin","Cisco Brewers","Nantucket, MA","Pumpkin Ale","12 oz.","6.0%","N/A"
"1291","Big Bowl Blonde Ale","Wild Onion Brewing Company","Lake Barrington, IL","American Brown Ale","12 oz.","5.0%","N/A"
"1292","Grisette","Sly Fox Brewing Company","Pottstown, PA","Grisette","12 oz.","5.6%","25"
"1293","Casinos IPA","Santa Cruz Mountain Brewing","Santa Cruz, CA","English India Pale Ale (IPA)","16 oz.","7.0%","N/A"
"1294","Half Full Bright Ale","Half Full Brewery","Stamford, CT","American Blonde Ale","12 oz.","5.2%","18"
"1295","Screaming Eagle Special Ale ESB","Bonfire Brewing Company","Eagle, CO","Extra Special / Strong Bitter (ESB)","12 oz.","4.8%","38"
"1296","Saranac Shandy","Matt Brewing Company","Utica, NY","Shandy","12 oz.","4.2%","N/A"
"1297","Point Oktoberfest","Stevens Point Brewery","Stevens Point, WI","Märzen / Oktoberfest","16 oz.","5.7%","15"
"1298","Monk from the 'Yunk","Manayunk Brewing Company","Philadelphia, PA","Tripel","12 oz.","9.0%","30"
"1299","Schuylkill Punch","Manayunk Brewing Company","Philadelphia, PA","Fruit / Vegetable Beer","12 oz.","6.0%","14"
"1300","541 American Lager","Hop Valley Brewing Company","Springfield, OR","American Pale Lager","12 oz.","4.8%","13"
"1301","Alphadelic IPA","Hop Valley Brewing Company","Springfield, OR","American IPA","12 oz.","6.5%","90"
"1302","Contemplation","Brewery Vivant","Grand Rapids, MI","Bière de Garde","16 oz.","6.5%","N/A"
"1303","Grazias","Hess Brewing Company","San Diego, CA","Cream Ale","16 oz.","6.3%","30"
"1304","Summer Solstice","Anderson Valley Brewing Company","Boonville, CA","Cream Ale","12 oz.","5.6%","4"
"1305","Boston Lager","Boston Beer Company","Boston, MA","Vienna Lager","16 oz.","4.9%","30"
"1306","KelSo Pilsner","KelSo Beer Company","Brooklyn, NY","Czech Pilsener","12 oz.","5.5%","23"
"1307","Bourbon Barrel Cowbell","Sun King Brewing Company","Indianapolis, IN","American Porter","16 oz. Alumi-Tek®","???","N/A"
"1308","Habitus IPA","Hess Brewing Company","San Diego, CA","American IPA","16 oz.","8.0%","86"
"1309","Patty's Chile Beer","Wynkoop Brewing Company","Denver, CO","Chile Beer","12 oz.","4.2%","N/A"
"1310","Classique","Stillwater Artisanal Ales","Baltimore, MD","Saison / Farmhouse Ale","12 oz.","4.5%","N/A"
"1311","Barrio Tucson Blonde","Barrio Brewing Company","Tucson, AZ","American Blonde Ale","12 oz.","4.5%","N/A"
"1312","First Press","Ciderboys","Stevens Point, WI","Cider","12 oz.","5.0%","N/A"
"1313","Magic Apple","Ciderboys","Stevens Point, WI","Cider","12 oz.","5.0%","N/A"
"1314","UFO Pumpkin","Harpoon Brewery","Boston, MA","Pumpkin Ale","12 oz.","5.9%","20"
"1315","Old Chico Crystal Wheat","Sierra Nevada Brewing Company","Chico, CA","American Pale Wheat Ale","12 oz.","4.8%","26"
"1316","Core Oatmeal Stout","Core Brewing & Distilling Company","Springdale, AR","Oatmeal Stout","12 oz.","5.7%","N/A"
"1317","Core ESB","Core Brewing & Distilling Company","Springdale, AR","Extra Special / Strong Bitter (ESB)","12 oz.","6.1%","N/A"
"1318","Float Trip Ale","Piney River Brewing Company","Bucryus, MO","American Blonde Ale","16 oz.","4.5%","18"
"1319","Dreamin' Double IPA","Manayunk Brewing Company","Philadelphia, PA","American Double / Imperial IPA","12 oz.","8.5%","85"
"1320","Quakertown Stout","Armadillo Ale Works","Denton, TX","American Double / Imperial Stout","12 oz.","9.2%","50"
"1321","Greenbelt Farmhouse Ale","Armadillo Ale Works","Denton, TX","Saison / Farmhouse Ale","12 oz.","5.1%","20"
"1322","Hardywood Cream Ale","Hardywood Park Craft Brewery","Richmond, VA","Cream Ale","12 oz.","4.4%","18"
"1323","Track 1 Amber Lager","Roanoke Railhouse Brewery","Roanoke, VA","American Amber / Red Lager","16 oz.","4.5%","N/A"
"1324","I.W.A. (2011)","SanTan Brewing Company","Chandler, AZ","American Pale Wheat Ale","12 oz.","6.0%","N/A"
"1325","Deviant Dale's IPA","Oskar Blues Brewery (North Carol...","Brevard, NC","American Double / Imperial IPA","16 oz.","8.0%","85"
"1326","Hop Ottin' IPA","Anderson Valley Brewing Company","Boonville, CA","American IPA","12 oz.","7.0%","80"
"1327","Boont Amber Ale","Anderson Valley Brewing Company","Boonville, CA","American Amber / Red Ale","12 oz.","5.8%","15"
"1328","Big Rod Coconut Ale","Miami Brewing Company","Miami, FL","American Blonde Ale","12 oz.","5.3%","16"
"1329","Schlafly Yakima Wheat Ale","Schlafly Brewing Company","Saint Louis, MO","American Pale Wheat Ale","12 oz.","5.0%","45"
"1330","Schlafly Black Lager","Schlafly Brewing Company","Saint Louis, MO","Schwarzbier","12 oz.","5.0%","N/A"
"1331","Green Bullet Organic India Pale Ale","Asher Brewing Company","Boulder, CO","American IPA","16 oz.","7.0%","45"
"1332","Brewerhood Brown Ale","Blue Blood Brewing Company","Lincoln, NE","American Brown Ale","12 oz.","5.5%","N/A"
"1333","Last Call Imperial Amber Ale","Blue Blood Brewing Company","Lincoln, NE","American Amber / Red Ale","12 oz.","8.0%","N/A"
"1334","Pernicious Double IPA","Blue Blood Brewing Company","Lincoln, NE","American Double / Imperial IPA","12 oz.","9.6%","N/A"
"1335","Wild Wolf Wee Heavy Scottish Style Ale","Wild Wolf Brewing Company","Nellysford, VA","Scotch Ale / Wee Heavy","12 oz.","5.7%","20"
"1336","Steel Rail Extra Pale Ale","Berkshire Brewing Company","South Deerfield, MA","American Pale Ale (APA)","12 oz.","5.3%","20"
"1337","Colorojo Imperial Red Ale","Wynkoop Brewing Company","Denver, CO","American Strong Ale","12 oz.","8.2%","N/A"
"1338","Upslope Imperial India Pale Ale","Upslope Brewing Company","Boulder, CO","American Double / Imperial IPA","19.2 oz.","9.9%","90"
"1339","Popcorn Pilsner","Sun King Brewing Company","Indianapolis, IN","German Pilsener","16 oz.","5.4%","N/A"
"1340","Harpoon Octoberfest","Harpoon Brewery","Boston, MA","Märzen / Oktoberfest","12 oz.","5.5%","30"
"1341","Westbrook Gose","Westbrook Brewing Company","Mt. Pleasant, SC","Gose","12 oz.","4.0%","5"
"1342","Geary's Summer Ale","D.L. Geary Brewing Company","Portland, ME","Kölsch","12 oz.","6.0%","N/A"
"1343","Boston Lager","Boston Beer Company","Boston, MA","Vienna Lager","12 oz.","4.9%","30"
"1344","Face Plant IPA","Lost Rhino Brewing Company","Ashburn, VA","American IPA","12 oz.","6.2%","65"
"1345","Rhino Chasers Pilsner","Lost Rhino Brewing Company","Ashburn, VA","Czech Pilsener","12 oz.","5.6%","55"
"1346","Paleo IPA","North Country Brewing Company","Slippery Rock, PA","English India Pale Ale (IPA)","12 oz.","6.0%","N/A"
"1347","Buck Snort Stout","North Country Brewing Company","Slippery Rock, PA","American Stout","12 oz.","6.1%","N/A"
"1348","Station 33 Firehouse Red","North Country Brewing Company","Slippery Rock, PA","Irish Red Ale","12 oz.","5.5%","N/A"
"1349","Slimy Pebble Pils","North Country Brewing Company","Slippery Rock, PA","German Pilsener","12 oz.","4.5%","N/A"
"1350","6-4-3 Double Play Pilsner","Blue Blood Brewing Company","Lincoln, NE","German Pilsener","12 oz.","5.2%","N/A"
"1351","Blur India Pale Ale","Seabright Brewery","Santa Cruz, CA","American IPA","12 oz.","7.4%","60"
"1352","Easy Livin' Summer Ale","Crow Peak Brewing Company","Spearfish, SD","American Blonde Ale","12 oz.","4.5%","N/A"
"1353","Gateway Kolsch Style Ale","French Broad Brewery","Asheville, NC","Kölsch","12 oz.","5.3%","32"
"1354","Supermonk I.P.A.","SanTan Brewing Company","Chandler, AZ","Belgian IPA","12 oz.","6.5%","N/A"
"1355","Sockeye Belgian Style Summer Ale","Sockeye Brewing Company","Boise, ID","Witbier","16 oz.","5.0%","N/A"
"1356","Estival Cream Stout","Ska Brewing Company","Durango, CO","American Stout","12 oz.","5.8%","15"
"1357","Point the Way IPA","Golden Road Brewing","Los Angeles, CA","American IPA","12 oz.","5.9%","60"
"1358","Summerfest","Sierra Nevada Brewing Company","Chico, CA","Czech Pilsener","12 oz.","5.0%","28"
"1359","Angry Orchard Apple Ginger","Angry Orchard Cider Company","Cincinnati, OH","Cider","16 oz.","5.0%","N/A"
"1360","Angry Orchard Crisp Apple","Angry Orchard Cider Company","Cincinnati, OH","Cider","16 oz.","5.0%","N/A"
"1361","Angry Orchard Crisp Apple","Angry Orchard Cider Company","Cincinnati, OH","Cider","12 oz.","5.0%","N/A"
"1362","Narragansett Bohemian Pilsner","Narragansett Brewing Company","Providence, RI","German Pilsener","16 oz.","8.6%","35"
"1363","The Sword Iron Swan Ale","Real Ale Brewing Company","Blanco, TX","English Pale Ale","12 oz.","5.9%","N/A"
"1364","Bozone HopZone IPA","Bozeman Brewing Company","Bozeman, MT","American IPA","12 oz.","7.0%","80"
"1365","Bozone Hefe Weizen","Bozeman Brewing Company","Bozeman, MT","Hefeweizen","12 oz.","6.0%","25"
"1366","Hipster Ale (Two Roads Brewing)","Evil Twin Brewing","Brooklyn, NY","American Pale Ale (APA)","12 oz.","5.5%","N/A"
"1367","Bikini Beer","Evil Twin Brewing","Brooklyn, NY","American IPA","12 oz.","2.7%","N/A"
"1368","No Limits Hefeweizen","Two Roads Brewing Company","Stratford, CT","Hefeweizen","16 oz.","5.0%","N/A"
"1369","Dog Days Lager","Two Brothers Brewing Company","Warrenville, IL","Dortmunder / Export Lager","12 oz.","5.1%","17"
"1370","Na Zdraví Pilsner","Southern Oregon Brewing Company","Medford, OR","Czech Pilsener","16 oz.","4.8%","32"
"1371","Nice Rack IPA","Southern Oregon Brewing Company","Medford, OR","American IPA","16 oz.","5.5%","65"
"1372","Samuel Adams Octoberfest","Boston Beer Company","Boston, MA","Märzen / Oktoberfest","12 oz.","5.3%","15"
"1373","Lazy Daze Lager","Rochester Mills Brewing Company","Rochester, MI","American Adjunct Lager","16 oz.","5.5%","N/A"
"1374","East India Pale Ale","Brooklyn Brewery","Brooklyn, NY","English India Pale Ale (IPA)","16 oz.","6.8%","47"
"1375","Northern Hawk Owl Amber","The Right Brain Brewery","Traverse City, MI","American Amber / Red Ale","12 oz.","5.8%","N/A"
"1376","CEO Stout","The Right Brain Brewery","Traverse City, MI","American Stout","16 oz.","5.9%","N/A"
"1377","Will Power Pale Ale","The Right Brain Brewery","Traverse City, MI","American Pale Ale (APA)","16 oz.","4.7%","N/A"
"1378","Dirty Blonde Chocolate Ale","Great River Brewery","Davenport, IA","American Blonde Ale","12 oz.","4.8%","N/A"
"1379","Longboard Island Lager","Kona Brewing Company","Kona, HI","American Amber / Red Lager","24 oz.","4.6%","18"
"1380","SNO White Ale","MillKing It Productions","Royal Oak, MI","Witbier","16 oz.","4.8%","N/A"
"1381","Louie's Demise Amber Ale","Milwaukee Brewing Company","Milwaukee, WI","American Amber / Red Ale","16 oz.","5.1%","24"
"1382","Lemongrass Saison","Maui Brewing Company","Lahaina, HI","Saison / Farmhouse Ale","12 oz.","5.0%","N/A"
"1383","Capital Trail Pale Ale","Hardywood Park Craft Brewery","Richmond, VA","American Pale Ale (APA)","12 oz.","5.6%","55"
"1384","Great Crescent Coconut Porter","Great Crescent Brewery","Aurora, IN","American Porter","16 oz.","5.6%","33"
"1385","Rustic Red","Pateros Creek Brewing Company","Fort Collins, CO","Irish Red Ale","16 oz.","5.2%","23"
"1386","Black Rabbit","Brewery Vivant","Grand Rapids, MI","American Black Ale","16 oz.","5.0%","N/A"
"1387","Zaison","Brewery Vivant","Grand Rapids, MI","Saison / Farmhouse Ale","16 oz.","9.0%","N/A"
"1388","Old Grogham Imperial India Pale Ale","Natian Brewery","Portland, OR","American Double / Imperial IPA","16 oz.","8.5%","86"
"1389","O'Fallon Pumpkin Beer","O'Fallon Brewery","O'Fallon, MO","Pumpkin Ale","12 oz.","5.5%","N/A"
"1390","El Hefe Speaks","DC Brau Brewing Company","Washington, DC","Hefeweizen","12 oz.","5.3%","11"
"1391","Marble Pilsner","Marble Brewery","Albuquerque, NM","German Pilsener","12 oz.","4.7%","N/A"
"1392","Bent Paddle Black Ale","Bent Paddle Brewing Company","Duluth, MN","American Black Ale","12 oz.","6.0%","34"
"1393","Wee-Heavy-Er Scotch Ale","French Broad Brewery","Asheville, NC","Scotch Ale / Wee Heavy","12 oz.","7.0%","24"
"1394","13 Rebels ESB","French Broad Brewery","Asheville, NC","Extra Special / Strong Bitter (ESB)","12 oz.","5.2%","42"
"1395","5 Day IPA","O'Fallon Brewery","O'Fallon, MO","American IPA","12 oz.","6.1%","66"
"1396","Jack Pine Savage","Big Wood Brewery","Vadnais Heights, MN","American Pale Ale (APA)","16 oz.","5.3%","43"
"1397","Forest Fire Imperial Smoked Rye","Big Wood Brewery","Vadnais Heights, MN","Rye Beer","16 oz.","9.9%","85"
"1398","Bad Axe Imperial IPA","Big Wood Brewery","Vadnais Heights, MN","American Double / Imperial IPA","16 oz.","9.8%","76"
"1399","JP's Ould Sod Irish Red IPA","James Page Brewing Company","Stevens Point, WI","American IPA","12 oz.","6.0%","N/A"
"1400","Venture Pils","Bent Paddle Brewing Company","Duluth, MN","German Pilsener","12 oz.","5.0%","38"
"1401","Dale's Pale Ale","Oskar Blues Brewery","Longmont, CO","American Pale Ale (APA)","12 oz.","6.5%","65"
"1402","Trail Maker Pale Ale","Howard Brewing Company","Lenoir, NC","American Pale Ale (APA)","12 oz.","6.5%","N/A"
"1403","Action Man Lager","Howard Brewing Company","Lenoir, NC","Vienna Lager","12 oz.","5.5%","N/A"
"1404","Duluchan India Pale Ale","Lavery Brewing Company","Erie, PA","American IPA","12 oz.","5.6%","70"
"1405","Main St. Virginia Ale","Center of the Universe Brewing C...","Ashland, VA","Altbier","12 oz.","5.0%","40"
"1406","Ray Ray’s Pale Ale","Center of the Universe Brewing C...","Ashland, VA","American Pale Ale (APA)","12 oz.","5.2%","42"
"1407","Cranberry Blend","Downeast Cider House","Leominster, MA","Cider","12 oz.","4.9%","N/A"
"1408","Schilling Hard Cider","Schilling & Company","Seattle, WA","Cider","12 oz.","6.5%","N/A"
"1409","Dos Pistolas","Great River Brewery","Davenport, IA","Vienna Lager","12 oz.","4.8%","20"
"1410","Tropical Heatwave","Cigar City Brewing Company","Tampa, FL","American Pale Wheat Ale","16 oz.","5.2%","N/A"
"1411","Big Nose","Swamp Head Brewery","Gainesville, FL","American IPA","12 oz.","7.3%","50"
"1412","Cotton Mouth","Swamp Head Brewery","Gainesville, FL","Witbier","12 oz.","5.0%","10"
"1413","Stump Knocker Pale Ale","Swamp Head Brewery","Gainesville, FL","American Pale Ale (APA)","12 oz.","5.6%","35"
"1414","Midnight Oil","Swamp Head Brewery","Gainesville, FL","Oatmeal Stout","12 oz.","5.0%","38"
"1415","Wild Night","Swamp Head Brewery","Gainesville, FL","Cream Ale","12 oz.","5.9%","18"
"1416","Pit Stop Chocolate Porter","Mavericks Beer Company","Half Moon Bay, CA","American Porter","12 oz.","3.7%","34"
"1417","Pace Setter Belgian Style Wit","Mavericks Beer Company","Half Moon Bay, CA","Witbier","12 oz.","3.7%","21"
"1418","Love Street Summer Seasonal (2014)","Karbach Brewing Company","Houston, TX","Kölsch","12 oz.","4.7%","20"
"1419","The Imperial Texan","Martin House Brewing Company","Fort Worth, TX","American Double / Imperial IPA","12 oz.","8.0%","N/A"
"1420","Day Break 4-Grain Breakfast Beer","Martin House Brewing Company","Fort Worth, TX","Rye Beer","16 oz.","5.0%","N/A"
"1421","River House Saison","Martin House Brewing Company","Fort Worth, TX","Saison / Farmhouse Ale","12 oz.","5.0%","N/A"
"1422","There Will Be Stout","Martin House Brewing Company","Fort Worth, TX","American Stout","12 oz.","6.5%","N/A"
"1423","Dodgy Knight Imperial IPA","TailGate Beer","San Diego, CA","American Double / Imperial IPA","12 oz.","8.0%","95"
"1424","Mad Beach","Aviator Brewing Company","Fuquay-Varina, NC","American Pale Wheat Ale","12 oz.","4.8%","23"
"1425","Hoppy Bitch IPA","Northwest Brewing Company","Pacific, WA","American IPA","16 oz.","6.3%","N/A"
"1426","Three Skulls Ale Pale Ale","Northwest Brewing Company","Pacific, WA","American Pale Ale (APA)","16 oz.","6.3%","42"
"1427","Point Nude Beach Summer Wheat","Stevens Point Brewery","Stevens Point, WI","American Pale Wheat Ale","16 oz.","5.2%","7"
"1428","Dank IPA","Dad & Dude's Breweria","Aurora, CO","American IPA","16 oz.","6.5%","N/A"
"1429","All Day IPA","Founders Brewing Company","Grand Rapids, MI","American IPA","12 oz.","4.7%","42"
"1430","Cropduster Mid-American IPA","Thunderhead Brewing Company","Kearney, NE","American IPA","12 oz.","6.5%","N/A"
"1431","Barney Flats Oatmeal Stout","Anderson Valley Brewing Company","Boonville, CA","Oatmeal Stout","12 oz.","5.7%","13"
"1432","Longboard Island Lager","Kona Brewing Company","Kona, HI","American Amber / Red Lager","16 oz.","4.6%","18"
"1433","All American Blonde Ale","Centennial Beer Company","Edwards, CO","American Blonde Ale","12 oz.","5.0%","N/A"
"1434","All American Red Ale","Centennial Beer Company","Edwards, CO","American Amber / Red Ale","12 oz.","5.0%","N/A"
"1435","El Steinber Dark Lager","Anderson Valley Brewing Company","Boonville, CA","Vienna Lager","16 oz.","5.5%","25"
"1436","Tender Loving Empire NWPA","Fort George Brewery","Astoria, OR","American Pale Ale (APA)","16 oz.","5.8%","N/A"
"1437","Chuli Stout","Denali Brewing Company","Talkeetna, AK","Irish Dry Stout","12 oz.","5.9%","55"
"1438","SUM'R","Uinta Brewing Company","Salt Lake City, UT","American Blonde Ale","12 oz.","4.0%","17"
"1439","360° India Pale Ale","Sly Fox Brewing Company","Pottstown, PA","American IPA","12 oz.","6.2%","N/A"
"1440","Mirror Pond Pale Ale","Deschutes Brewery","Bend, OR","American Pale Ale (APA)","12 oz.","5.0%","40"
"1441","Summer Swelter","Baxter Brewing Company","Lewiston, ME","American Pale Wheat Ale","12 oz.","4.7%","N/A"
"1442","Twisted Helles Summer Lager","Frankenmuth Brewery","Frankenmuth, MI","Munich Helles Lager","12 oz.","5.5%","18"
"1443","Dam Lager","Sunken City Brewing Company","Hardy, VA","American Amber / Red Lager","12 oz.","4.5%","N/A"
"1444","Red Clay IPA","Sunken City Brewing Company","Hardy, VA","American IPA","12 oz.","7.0%","N/A"
"1445","Northern Lights India Pale Ale","Starr Hill Brewery","Crozet, VA","American IPA","16 oz.","6.5%","52"
"1446","Hips Don't Lie","Lucette Brewing Company","Menominie, WI","Hefeweizen","16 oz.","6.2%","N/A"
"1447","Double Brown Stout","Deep Ellum Brewing Company","Dallas, TX","Baltic Porter","12 oz.","7.0%","N/A"
"1448","Farmhouse Wit","Deep Ellum Brewing Company","Dallas, TX","Saison / Farmhouse Ale","16 oz.","4.8%","25"
"1449","Striped Bass Pale Ale","Devil's Backbone Brewing Company","Lexington, VA","American Pale Ale (APA)","12 oz.","5.2%","26"
"1450","Bomber Mountain Amber Ale (2013)","The Black Tooth Brewing Company","Sheridan, WY","American Amber / Red Ale","12 oz.","4.6%","20"
"1451","Indian Paintbrush IPA","The Black Tooth Brewing Company","Sheridan, WY","American IPA","12 oz.","7.0%","75"
"1452","Saddle Bronc Brown Ale (2013)","The Black Tooth Brewing Company","Sheridan, WY","English Brown Ale","12 oz.","4.8%","16"
"1453","Wagon Box Wheat Beer","The Black Tooth Brewing Company","Sheridan, WY","American Pale Wheat Ale","12 oz.","5.9%","15"
"1454","Wild Plum Farmhouse Ale","Tallgrass Brewing Company","Manhattan, KS","Saison / Farmhouse Ale","16 oz.","5.6%","20"
"1455","Wild Wolf American Pilsner","Wild Wolf Brewing Company","Nellysford, VA","American Pilsner","12 oz.","4.5%","25"
"1456","Alpha Ale","Wild Wolf Brewing Company","Nellysford, VA","American Pale Ale (APA)","12 oz.","5.1%","45"
"1457","Skilak Scottish Ale","Kenai River Brewing Company","Soldotna, AK","Scottish Ale","12 oz.","5.8%","N/A"
"1458","Vernal Minthe Stout","Ska Brewing Company","Durango, CO","American Stout","12 oz.","5.8%","N/A"
"1459","Swami's India Pale Ale","Pizza Port Brewing Company","Carlsbad, CA","American IPA","16 oz.","6.8%","N/A"
"1460","Notch Session Pils","Notch Brewing Company","Ipswich, MA","Czech Pilsener","12 oz.","4.0%","N/A"
"1461","Honeyspot Road White IPA","Two Roads Brewing Company","Stratford, CT","American White IPA","12 oz.","6.0%","N/A"
"1462","Duke's Cold Nose Brown Ale","Bold City Brewery","Jacksonville, FL","American Brown Ale","12 oz.","6.0%","N/A"
"1463","Peninsula Brewers Reserve (PBR)","Kenai River Brewing Company","Soldotna, AK","American Blonde Ale","12 oz.","5.0%","15"
"1464","Hazy Day Belgian-Style Wit","Grey Sail Brewing of Rhode Island","Westerly, RI","Witbier","16 oz.","4.0%","20"
"1465","Bring Back the Beach Blonde Ale","Grey Sail Brewing of Rhode Island","Westerly, RI","American Blonde Ale","16 oz.","5.5%","N/A"
"1466","Dirtbag Dunkel","Bonfire Brewing Company","Eagle, CO","Munich Dunkel Lager","16 oz.","4.9%","N/A"
"1467","Kindler Pale Ale","Bonfire Brewing Company","Eagle, CO","American Pale Ale (APA)","12 oz.","5.3%","45"
"1468","Elliott's Phoned Home Pale Ale","Cedar Creek Brewery","Seven Points, TX","American Pale Ale (APA)","16 oz.","5.1%","36"
"1469","Sockeye Maibock","Sockeye Brewing Company","Boise, ID","Maibock / Helles Bock","12 oz.","6.4%","N/A"
"1470","River North White Ale","River North Brewery","Denver, CO","Witbier","16 oz.","5.0%","N/A"
"1471","River North Ale","River North Brewery","Denver, CO","American Amber / Red Ale","16 oz.","5.0%","N/A"
"1472","Vivant Tripel","Brewery Vivant","Grand Rapids, MI","Tripel","16 oz.","8.2%","N/A"
"1473","Mutiny IPA","Capital Brewery","Middleton, WI","American IPA","12 oz.","6.2%","70"
"1474","Redacted Rye IPA","Renegade Brewing Company","Denver, CO","American IPA","16 oz.","7.0%","100"
"1475","Old Chub","Oskar Blues Brewery (North Carol...","Brevard, NC","Scottish Ale","12 oz.","8.0%","35"
"1476","77 Fremont Select Spring Session IPA","Fremont Brewing Company","Seattle, WA","American IPA","12 oz.","4.0%","N/A"
"1477","Evolutionary IPA (2012)","Two Beers Brewing Company","Seattle, WA","American IPA","12 oz.","6.2%","70"
"1478","Mo's Gose","Armstrong Brewing Company","South San Francisco,CA","Gose","16 oz.","5.2%","10"
"1479","Road 2 Ruin Double IPA","Two Roads Brewing Company","Stratford, CT","American Double / Imperial IPA","12 oz.","7.2%","N/A"
"1480","Workers Comp Saison","Two Roads Brewing Company","Stratford, CT","Saison / Farmhouse Ale","12 oz.","4.8%","N/A"
"1481","Ol' Factory Pils","Two Roads Brewing Company","Stratford, CT","German Pilsener","12 oz.","5.0%","N/A"
"1482","Farm Girl Saison","Lift Bridge Brewing Company","Stillwater, MN","Saison / Farmhouse Ale","16 oz.","6.0%","30"
"1483","Mama's Little Yella Pils","Oskar Blues Brewery","Longmont, CO","Czech Pilsener","19.2 oz.","5.3%","35"
"1484","Dale's Pale Ale","Oskar Blues Brewery (North Carol...","Brevard, NC","American Pale Ale (APA)","19.2 oz.","6.5%","65"
"1485","Colorado Native","AC Golden Brewing Company","Golden, CO","American Amber / Red Lager","12 oz.","5.5%","26"
"1486","TailGate Saison","TailGate Beer","San Diego, CA","Saison / Farmhouse Ale","12 oz.","5.0%","N/A"
"1487","WinterWonderGrass Festival Ale","Crazy Mountain Brewing Company","Edwards, CO","American Amber / Red Ale","12 oz.","???","N/A"
"1488","Oatmeal PSA","Airways Brewing Company","Kent, WA","American Pale Ale (APA)","16 oz.","5.0%","35"
"1489","Rye Pils Session Lager","Deep Ellum Brewing Company","Dallas, TX","German Pilsener","12 oz.","4.6%","N/A"
"1490","Old Devil's Tooth","Sockeye Brewing Company","Boise, ID","American Barleywine","12 oz.","9.9%","100"
"1491","Mother Ale","Denali Brewing Company","Talkeetna, AK","American Blonde Ale","12 oz.","5.6%","46"
"1492","La Frontera Premium IPA","Big Bend Brewing Company","Alpine, TX","American IPA","12 oz.","7.8%","N/A"
"1493","Tejas Lager","Big Bend Brewing Company","Alpine, TX","Czech Pilsener","12 oz.","4.7%","N/A"
