"","Beer","Brewery","Location","Style","Size","ABV","IBU"
"2097","Great Crescent Belgian Style Wit","Great Crescent Brewery","Aurora, IN","Witbier","16 oz.","5.1%","13"
"2098","White Water Wheat","Grand Canyon Brewing Company","Williams, AZ","American Pale Wheat Ale","12 oz.","5.0%","N/A"
"2099","Grand Canyon American Pilsner","Grand Canyon Brewing Company","Williams, AZ","American Pilsner","12 oz.","5.2%","N/A"
"2100","Yellowstone Golden Ale","Lewis and Clark Brewing Company","Helena, MT","Kölsch","12 oz.","5.1%","N/A"
"2101","Tumbleweed IPA","Lewis and Clark Brewing Company","Helena, MT","American IPA","12 oz.","5.7%","N/A"
"2102","Lewis & Clark Amber Ale","Lewis and Clark Brewing Company","Helena, MT","American Amber / Red Ale","12 oz.","5.0%","N/A"
"2103","Miner's Gold Hefeweizen","Lewis and Clark Brewing Company","Helena, MT","Hefeweizen","12 oz.","5.0%","N/A"
"2104","Back Country Scottish Ale","Lewis and Clark Brewing Company","Helena, MT","Scottish Ale","12 oz.","5.7%","N/A"
"2105","Bozone Select Amber Ale","Bozeman Brewing Company","Bozeman, MT","American Amber / Red Ale","12 oz.","5.5%","N/A"
"2106","Fox Tail Gluten Free Ale","Joseph James Brewing Company","Henderson, NV","American Pale Ale (APA)","12 oz.","5.0%","50"
"2107","Hop Box Imperial IPA","Joseph James Brewing Company","Henderson, NV","American Double / Imperial IPA","12 oz.","9.3%","90"
"2108","Joseph James American Lager","Joseph James Brewing Company","Henderson, NV","American Adjunct Lager","12 oz.","5.2%","15"
"2109","Top Rope Mexican-style Craft Lager","Upslope Brewing Company","Boulder, CO","Vienna Lager","12 oz.","4.8%","15"
"2110","Sympathy for the Lager","Karbach Brewing Company","Houston, TX","American Amber / Red Lager","12 oz.","4.9%","45"
"2111","Weisse Versa","Karbach Brewing Company","Houston, TX","Hefeweizen","12 oz.","5.2%","15"
"2112","Hopadillo India Pale Ale","Karbach Brewing Company","Houston, TX","American IPA","12 oz.","6.6%","70"
"2113","Dundee Summer Wheat Beer","Dundee Brewing Company","Rochester, NY","American Pale Wheat Ale","12 oz.","4.5%","18"
"2114","Point Oktoberfest","Stevens Point Brewery","Stevens Point, WI","Märzen / Oktoberfest","12 oz.","5.7%","15"
"2115","Bourbon's Barrel Stout","Great Crescent Brewery","Aurora, IN","American Stout","16 oz.","7.5%","65"
"2116","Saranac Summer Ale (2011)","Matt Brewing Company","Utica, NY","American Pale Wheat Ale","12 oz.","4.7%","N/A"
"2117","Panorama Wheat Ale","Two Beers Brewing Company","Seattle, WA","American Pale Wheat Ale","12 oz.","4.6%","N/A"
"2118","Dolores River ESB","Dolores River Brewery","Dolores, CO","Extra Special / Strong Bitter (ESB)","16 oz.","???","N/A"
"2119","Snaggletooth Double Pale Ale","Dolores River Brewery","Dolores, CO","American Double / Imperial IPA","16 oz.","???","N/A"
"2120","Dolores River Pale Ale","Dolores River Brewery","Dolores, CO","American Pale Ale (APA)","16 oz.","???","N/A"
"2121","Dolores River Dry Stout","Dolores River Brewery","Dolores, CO","Irish Dry Stout","16 oz.","???","N/A"
