Beer,Brewery,State,Region,Style_RAW,Style_12,Style_05,Size,ABV,IBU
1916 Shore Shiver,Forgotten Boardwalk,NJ,Northeast,American IPA,IPA,Strong Ale,12,6.9,65
Laughing Dog Cream Ale,Laughing Dog Brewing Company,ID,West,Cream Ale,Pale Ale,Ale,12,5.0,12
Even Keel,Ballast Point Brewing Company,CA,West,American IPA,IPA,Strong Ale,12,3.8,40
Apr Shred,Big Choice Brewing,CO,West,American Strong Ale,Strong Ale,Strong Ale,16,8.1,17
Arcus IPA,Big Storm Brewing Company,FL,South,American IPA,IPA,Strong Ale,12,6.9,81
Epitome,Carton Brewing Company,NJ,Northeast,American Black Ale,Dark Ale,Dark,16,9.9,100
Pleasure Town,Midnight Sun Brewing Company,AK,West,American IPA,IPA,Strong Ale,12,6.3,61
Trail Head,Fat Heads Brewery,OH,Midwest,American Pale Ale APA,Pale Ale,Ale,12,6.3,55
Hop Stalker Fresh Hop IPA,Fat Heads Brewery,OH,Midwest,American IPA,IPA,Strong Ale,16,7.0,80
Blood Orange Wit,Refuge Brewery,CA,West,Witbier,Belgian,Ale,16,5.0,16
Hop Up Offa That Brett 2014,Sun King Brewing Company,IN,Midwest,Belgian Pale Ale,Pale Ale,Ale,16,5.8,20
Bourbon Barrel Batch 666 Sympathy for the Devil,Sun King Brewing Company,IN,Midwest,Belgian Dark Ale,Belgian,Ale,16,9.9,36
8 Barrel,Chatham Brewing,NY,Northeast,American Strong Ale,Strong Ale,Strong Ale,16,8.0,69
No Wake IPA,Geneva Lake Brewing Company,WI,Midwest,American IPA,IPA,Strong Ale,12,7.2,50
Boathouse Blonde,Geneva Lake Brewing Company,WI,Midwest,American Blonde Ale,Pale Ale,Ale,12,4.9,15
Winter Warmer Vault Series,SanTan Brewing Company,AZ,West,Winter Warmer,Dark Ale,Dark,16,9.5,25
London Homesick Ale,Oasis Texas Brewing Company,TX,South,English Bitter,Sour,Other,12,4.9,27
Slow Ride,Oasis Texas Brewing Company,TX,South,American Pale Ale APA,Pale Ale,Ale,12,4.8,35
Weize Guy,Joseph James Brewing Company,NV,West,Hefeweizen,German Ale,Ale,12,5.0,15
Black Me Stout,Champion Brewing Company,VA,South,American Stout,Stout - Porter,Dark,12,6.0,45
Killer Kolsch,Champion Brewing Company,VA,South,Klsch,German Ale,Ale,12,5.0,22
Pale Alement,Burn Em Brewing,IN,Midwest,American Pale Ale APA,Pale Ale,Ale,16,5.5,40
Dankosaurus,Cedar Creek Brewery,TX,South,American IPA,IPA,Strong Ale,16,6.8,70
Bravo Four Point,Devils Backbone Brewing Company,VA,South,American Pale Ale APA,Pale Ale,Ale,12,4.4,45
Cream Ale,Newburgh Brewing Company,NY,Northeast,Cream Ale,Pale Ale,Ale,12,4.2,35
Might As Well IPL,Golden Road Brewing,CA,West,American Pale Lager,Lager,Lager,16,7.2,75
Skylight,New Republic Brewing Company,TX,South,Dunkelweizen,German Ale,Ale,12,5.6,20
Kadigan,New Republic Brewing Company,TX,South,American Blonde Ale,Pale Ale,Ale,12,5.6,30
Infamous IPA,Infamous Brewing Company,TX,South,American IPA,IPA,Strong Ale,12,7.0,75
Getaway,Lift Bridge Brewing Company,MN,Midwest,German Pilsener,German Lager,Lager,16,5.2,30
Pub Ale,Lucky Town Brewing Company,MS,Midwest,English Dark Mild Ale,Dark Ale,Dark,12,3.8,18
Ballistic Blonde,Lucky Town Brewing Company,MS,Midwest,Belgian Pale Ale,Pale Ale,Ale,12,5.1,31
Golden Fleece,Quest Brewing Company,SC,South,Belgian Pale Ale,Pale Ale,Ale,12,4.5,35
Tropicalia,Creature Comforts,GA,South,American IPA,IPA,Strong Ale,12,6.5,65
Pursuit,Half Full Brewery,CT,Northeast,American IPA,IPA,Strong Ale,12,7.0,40
Vertex IPA,Destihl Brewery,IL,Midwest,American IPA,IPA,Strong Ale,12,6.3,76
