Beer,Brewery,State,Region,Style_12,Style_05,Size,ABV,IBU
Grapefruit Jungle (GFJ),Sun King Brewing Company,IN,Midwest,IPA,Strong Ale,16,7.5,77
Caldera Pale Ale,Caldera Brewing Company,OR,West,Pale Ale,Ale,12,5.6,55
Sand Island Lighthouse,Straight to Ale,AL,South,German Ale,Ale,12,5.1,25
Kölsch 151,Blue Mountain Brewery,VA,South,German Ale,Ale,12,4.9,16
Tybee Island Blonde,Coastal Empire Beer Company,GA,South,Pale Ale,Ale,12,4.7,17
Savannah Brown Ale,Coastal Empire Beer Company,GA,South,Dark Ale,Dark,12,6.2,55
North 45 Amber Ale,Petoskey Brewing,MI,Midwest,Dark Ale,Dark,16,5.9,25
Horny Monk,Petoskey Brewing,MI,Midwest,Belgian,Ale,16,6.9,20
Mind's Eye PA,Petoskey Brewing,MI,Midwest,IPA,Strong Ale,16,6.7,74
Ballast Point Pale Ale,Ballast Point Brewing Company,CA,West,German Ale,Ale,12,5.2,23
Big Eye India Pale Ale,Ballast Point Brewing Company,CA,West,IPA,Strong Ale,12,7.0,75
Heal the Bay IPA,Golden Road Brewing,CA,West,IPA,Strong Ale,16,6.8,65
Pigwar White India Pale Ale,Hopworks Urban Brewery,OR,West,IPA,Strong Ale,16,6.0,60
Two-One Niner,Laughing Dog Brewing Company,ID,West,Pale Ale,Ale,12,4.8,9
Laughing Dog IPA,Laughing Dog Brewing Company,ID,West,IPA,Strong Ale,12,6.4,66
Hazed & Infused,Boulder Beer Company,CO,West,Pale Ale,Ale,12,4.9,35
Old Forge Pumpkin Ale,Old Forge Brewing Company,PA,Northeast,Ale - Other,Ale,16,4.6,20
Cascadian Dark Ale,Coalition Brewing Company,OR,West,Dark Ale,Dark,12,6.0,75
Sanitas Saison Ale,Sanitas Brewing Company,CO,West,Ale - Other,Ale,12,5.8,20
Sanitas Black IPA,Sanitas Brewing Company,CO,West,Dark Ale,Dark,12,6.8,65
Double D Blonde (2013),Hop Valley Brewing Company,OR,West,Pale Ale,Ale,12,4.9,20
Osiris Pale Ale,Sun King Brewing Company,IN,Midwest,Pale Ale,Ale,16,5.6,50
The Crisp,Sixpoint Craft Ales,NY,Northeast,German Lager,Lager,16,5.4,42
Sweet Action,Sixpoint Craft Ales,NY,Northeast,Pale Ale,Ale,16,5.2,34
Righteous Ale,Sixpoint Craft Ales,NY,Northeast,Other,Other,16,6.3,57
Bengali Tiger,Sixpoint Craft Ales,NY,Northeast,IPA,Strong Ale,16,6.4,62
Elephant Rock IPA,Pikes Peak Brewing Company,CO,West,IPA,Strong Ale,12,7.0,75
Beaver Logger,Gore Range Brewery,CO,West,Lager,Lager,12,5.2,19
Crank Yanker IPA,Eddyline Brewery & Restaurant,CO,West,IPA,Strong Ale,16,7.8,74
Ruhstaller's Gilt Edge Lager Beer,Ruhstaller Beer Company,CA,West,Lager,Lager,12,4.8,42
Bourbon Barrel Aged Timmie,Sun King Brewing Company,IN,Midwest,Stout / Porter,Dark,16,9.9,75
Stupid Sexy Flanders,Sun King Brewing Company,IN,Midwest,Sour,Other,16,6.3,23
Grisette,Sly Fox Brewing Company,PA,Northeast,Other,Other,12,5.6,25
Half Full Bright Ale,Half Full Brewery,CT,Northeast,Pale Ale,Ale,12,5.2,18
Point Oktoberfest,Stevens Point Brewery,WI,Midwest,German Lager,Lager,16,5.7,15
Monk from the 'Yunk,Manayunk Brewing Company,PA,Northeast,Belgian,Ale,12,9.0,30
Schuylkill Punch,Manayunk Brewing Company,PA,Northeast,Sour,Other,12,6.0,14
541 American Lager,Hop Valley Brewing Company,OR,West,Lager,Lager,12,4.8,13
Alphadelic IPA,Hop Valley Brewing Company,OR,West,IPA,Strong Ale,12,6.5,90
Grazias,Hess Brewing Company,CA,West,Pale Ale,Ale,16,6.3,30
Summer Solstice,Anderson Valley Brewing Company,CA,West,Pale Ale,Ale,12,5.6,4
Habitus IPA,Hess Brewing Company,CA,West,IPA,Strong Ale,16,8.0,86
Old Chico Crystal Wheat,Sierra Nevada Brewing Company,CA,West,Pale Ale,Ale,12,4.8,26
Dreamin' Double IPA,Manayunk Brewing Company,PA,Northeast,IPA,Strong Ale,12,8.5,85
Quakertown Stout,Armadillo Ale Works,TX,South,Stout / Porter,Dark,12,9.2,50
Greenbelt Farmhouse Ale,Armadillo Ale Works,TX,South,Ale - Other,Ale,12,5.1,20
Hardywood Cream Ale,Hardywood Park Craft Brewery,VA,South,Pale Ale,Ale,12,4.4,18
Deviant Dale's IPA,Oskar Blues Brewery (North Carol...,NC,South,IPA,Strong Ale,16,8.0,85
Hop Ottin' IPA,Anderson Valley Brewing Company,CA,West,IPA,Strong Ale,12,7.0,80
Boont Amber Ale,Anderson Valley Brewing Company,CA,West,Dark Ale,Dark,12,5.8,15
Big Rod Coconut Ale,Miami Brewing Company,FL,South,Pale Ale,Ale,12,5.3,16
Green Bullet Organic India Pale Ale,Asher Brewing Company,CO,West,IPA,Strong Ale,16,7.0,45
Wild Wolf Wee Heavy Scottish Style Ale,Wild Wolf Brewing Company,VA,South,Strong Ale,Strong Ale,12,5.7,20
Westbrook Gose,Westbrook Brewing Company,SC,South,Sour,Other,12,4.0,5
Face Plant IPA,Lost Rhino Brewing Company,VA,South,IPA,Strong Ale,12,6.2,65
Blur India Pale Ale,Seabright Brewery,CA,West,IPA,Strong Ale,12,7.4,60
Gateway Kolsch Style Ale,French Broad Brewery,NC,South,German Ale,Ale,12,5.3,32
Estival Cream Stout,Ska Brewing Company,CO,West,Stout / Porter,Dark,12,5.8,15
Point the Way IPA,Golden Road Brewing,CA,West,IPA,Strong Ale,12,5.9,60
Narragansett Bohemian Pilsner,Narragansett Brewing Company,RI,Northeast,German Lager,Lager,16,8.6,35
Bozone HopZone IPA,Bozeman Brewing Company,MT,West,IPA,Strong Ale,12,7.0,80
Bozone Hefe Weizen,Bozeman Brewing Company,MT,West,German Ale,Ale,12,6.0,25
Dog Days Lager,Two Brothers Brewing Company,IL,Midwest,German Lager,Lager,12,5.1,17
Nice Rack IPA,Southern Oregon Brewing Company,OR,West,IPA,Strong Ale,16,5.5,65
East India Pale Ale,Brooklyn Brewery,NY,Northeast,IPA,Strong Ale,16,6.8,47
Louie's Demise Amber Ale,Milwaukee Brewing Company,WI,Midwest,Dark Ale,Dark,16,5.1,24
Capital Trail Pale Ale,Hardywood Park Craft Brewery,VA,South,Pale Ale,Ale,12,5.6,55
Old Grogham Imperial India Pale Ale,Natian Brewery,OR,West,IPA,Strong Ale,16,8.5,86
El Hefe Speaks,DC Brau Brewing Company,DC,South,German Ale,Ale,12,5.3,11
Bent Paddle Black Ale,Bent Paddle Brewing Company,MN,Midwest,Dark Ale,Dark,12,6.0,34
Wee-Heavy-Er Scotch Ale,French Broad Brewery,NC,South,Strong Ale,Strong Ale,12,7.0,24
Jack Pine Savage,Big Wood Brewery,MN,Midwest,Pale Ale,Ale,16,5.3,43
Forest Fire Imperial Smoked Rye,Big Wood Brewery,MN,Midwest,Other,Other,16,9.9,85
Bad Axe Imperial IPA,Big Wood Brewery,MN,Midwest,IPA,Strong Ale,16,9.8,76
Venture Pils,Bent Paddle Brewing Company,MN,Midwest,German Lager,Lager,12,5.0,38
Dale's Pale Ale,Oskar Blues Brewery,CO,West,Pale Ale,Ale,12,6.5,65
Duluchan India Pale Ale,Lavery Brewing Company,PA,Northeast,IPA,Strong Ale,12,5.6,70
Main St. Virginia Ale,Center of the Universe Brewing C...,VA,South,German Ale,Ale,12,5.0,40
Ray Ray’s Pale Ale,Center of the Universe Brewing C...,VA,South,Pale Ale,Ale,12,5.2,42
Dos Pistolas,Great River Brewery,IA,Midwest,Lager,Lager,12,4.8,20
Big Nose,Swamp Head Brewery,FL,South,IPA,Strong Ale,12,7.3,50
Cotton Mouth,Swamp Head Brewery,FL,South,Belgian,Ale,12,5.0,10
Stump Knocker Pale Ale,Swamp Head Brewery,FL,South,Pale Ale,Ale,12,5.6,35
Midnight Oil,Swamp Head Brewery,FL,South,Stout / Porter,Dark,12,5.0,38
Wild Night,Swamp Head Brewery,FL,South,Pale Ale,Ale,12,5.9,18
Pace Setter Belgian Style Wit,Mavericks Beer Company,CA,West,Belgian,Ale,12,3.7,21
Love Street Summer Seasonal (2014),Karbach Brewing Company,TX,South,German Ale,Ale,12,4.7,20
Dodgy Knight Imperial IPA,TailGate Beer,CA,West,IPA,Strong Ale,12,8.0,95
Mad Beach,Aviator Brewing Company,NC,South,Pale Ale,Ale,12,4.8,23
Three Skulls Ale Pale Ale,Northwest Brewing Company,WA,West,Pale Ale,Ale,16,6.3,42
Point Nude Beach Summer Wheat,Stevens Point Brewery,WI,Midwest,Pale Ale,Ale,16,5.2,7
All Day IPA,Founders Brewing Company,MI,Midwest,IPA,Strong Ale,12,4.7,42
Barney Flats Oatmeal Stout,Anderson Valley Brewing Company,CA,West,Stout / Porter,Dark,12,5.7,13
Longboard Island Lager,Kona Brewing Company,HI,West,Lager,Lager,16,4.6,18
El Steinber Dark Lager,Anderson Valley Brewing Company,CA,West,Lager,Lager,16,5.5,25
Chuli Stout,Denali Brewing Company,AK,West,Stout / Porter,Dark,12,5.9,55
SUM'R,Uinta Brewing Company,UT,West,Pale Ale,Ale,12,4.0,17
Mirror Pond Pale Ale,Deschutes Brewery,OR,West,Pale Ale,Ale,12,5.0,40
Twisted Helles Summer Lager,Frankenmuth Brewery,MI,Midwest,German Lager,Lager,12,5.5,18
Northern Lights India Pale Ale,Starr Hill Brewery,VA,South,IPA,Strong Ale,16,6.5,52
Farmhouse Wit,Deep Ellum Brewing Company,TX,South,Ale - Other,Ale,16,4.8,25
Striped Bass Pale Ale,Devil's Backbone Brewing Company,VA,South,Pale Ale,Ale,12,5.2,26
Bomber Mountain Amber Ale (2013),The Black Tooth Brewing Company,WY,West,Dark Ale,Dark,12,4.6,20
Indian Paintbrush IPA,The Black Tooth Brewing Company,WY,West,IPA,Strong Ale,12,7.0,75
Saddle Bronc Brown Ale (2013),The Black Tooth Brewing Company,WY,West,Dark Ale,Dark,12,4.8,16
Wagon Box Wheat Beer,The Black Tooth Brewing Company,WY,West,Pale Ale,Ale,12,5.9,15
Wild Plum Farmhouse Ale,Tallgrass Brewing Company,KS,Midwest,Ale - Other,Ale,16,5.6,20
Wild Wolf American Pilsner,Wild Wolf Brewing Company,VA,South,Pale Ale,Ale,12,4.5,25
Alpha Ale,Wild Wolf Brewing Company,VA,South,Pale Ale,Ale,12,5.1,45
Peninsula Brewers Reserve (PBR),Kenai River Brewing Company,AK,West,Pale Ale,Ale,12,5.0,15
Hazy Day Belgian-Style Wit,Grey Sail Brewing of Rhode Island,RI,Northeast,Belgian,Ale,16,4.0,20
Kindler Pale Ale,Bonfire Brewing Company,CO,West,Pale Ale,Ale,12,5.3,45
Elliott's Phoned Home Pale Ale,Cedar Creek Brewery,TX,South,Pale Ale,Ale,16,5.1,36
Mutiny IPA,Capital Brewery,WI,Midwest,IPA,Strong Ale,12,6.2,70
Redacted Rye IPA,Renegade Brewing Company,CO,West,IPA,Strong Ale,16,7.0,100
Old Chub,Oskar Blues Brewery (North Carol...,NC,South,Strong Ale,Strong Ale,12,8.0,35
Evolutionary IPA (2012),Two Beers Brewing Company,WA,West,IPA,Strong Ale,12,6.2,70
Mo's Gose,Armstrong Brewing Company,CA,West,Sour,Other,16,5.2,10
Farm Girl Saison,Lift Bridge Brewing Company,MN,Midwest,Ale - Other,Ale,16,6.0,30
Colorado Native,AC Golden Brewing Company,CO,West,Lager,Lager,12,5.5,26
Oatmeal PSA,Airways Brewing Company,WA,West,Pale Ale,Ale,16,5.0,35
Old Devil's Tooth,Sockeye Brewing Company,ID,West,Strong Ale,Strong Ale,12,9.9,100
Mother Ale,Denali Brewing Company,AK,West,Pale Ale,Ale,12,5.6,46
Lumberyard Pilsner,Lumberyard Brewing Company,AZ,West,Pale Ale,Ale,12,5.3,20
Hell-Diver Pale Ale,Sockeye Brewing Company,ID,West,Pale Ale,Ale,12,5.2,32
Woolybugger Wheat,Sockeye Brewing Company,ID,West,Pale Ale,Ale,12,4.6,12
Nebraska India Pale Ale,Nebraska Brewing Company,NE,Midwest,IPA,Strong Ale,12,6.5,65
EOS Hefeweizen,Nebraska Brewing Company,NE,Midwest,German Ale,Ale,12,4.8,10
Brunette Nut Brown Ale,Nebraska Brewing Company,NE,Midwest,Dark Ale,Dark,12,4.8,15
Cardinal Pale Ale,Nebraska Brewing Company,NE,Midwest,Pale Ale,Ale,12,5.7,29
Humidor Series India Pale Ale,Cigar City Brewing Company,FL,South,IPA,Strong Ale,12,7.5,70
Jai Alai IPA Aged on White Oak,Cigar City Brewing Company,FL,South,IPA,Strong Ale,12,7.5,70
Maduro Brown Ale,Cigar City Brewing Company,FL,South,Dark Ale,Dark,12,5.5,25
Pre Flight Pilsner,Airways Brewing Company,WA,West,Pale Ale,Ale,16,5.2,33
Our Legacy IPA,Matt Brewing Company,NY,Northeast,IPA,Strong Ale,16,6.5,60
Ring of Dingle,Sun King Brewing Company,IN,Midwest,Stout / Porter,Dark,16,7.1,27
Bourbon Barrel Wee Mac,Sun King Brewing Company,IN,Midwest,Strong Ale,Strong Ale,16,5.4,23
Psychopathy,Madtree Brewing Company,OH,Midwest,IPA,Strong Ale,12,6.9,70
Gnarly Brown,Madtree Brewing Company,OH,Midwest,Dark Ale,Dark,12,7.0,32
Happy Amber,Madtree Brewing Company,OH,Midwest,Dark Ale,Dark,12,6.0,30
Helles Golden Lager,Sly Fox Brewing Company,PA,Northeast,German Lager,Lager,12,4.9,18
Sidekick Extra Pale Ale,Two Brothers Brewing Company,IL,Midwest,Pale Ale,Ale,12,5.1,36
Hipster Breakfast,Southern Prohibition Brewing Com...,MS,Midwest,Stout / Porter,Dark,16,5.8,40
Suzy B Dirty Blonde Ale,Southern Prohibition Brewing Com...,MS,Midwest,Pale Ale,Ale,16,5.0,20
Devil's Harvest Extra Pale Ale,Southern Prohibition Brewing Com...,MS,Midwest,Pale Ale,Ale,16,5.8,60
Shenanigans Summer Ale,Indeed Brewing Company,MN,Midwest,Pale Ale,Ale,12,4.6,27
Elder Betty,Magic Hat Brewing Company,VT,Northeast,German Ale,Ale,12,5.5,13
Overrated! West Coast Style IPA,Surly Brewing Company,MN,Midwest,IPA,Strong Ale,16,7.3,69
Heady Topper,The Alchemist,VT,Northeast,IPA,Strong Ale,16,8.0,120
Descender IPA,Good Life Brewing Company,OR,West,IPA,Strong Ale,12,7.0,70
Sweet As Pacific Ale,Good Life Brewing Company,OR,West,Pale Ale,Ale,12,6.0,18
Pablo Beach Pale Ale,Green Room Brewing,FL,South,Pale Ale,Ale,12,5.0,30
Organic Baba Black Lager,Uinta Brewing Company,UT,West,German Lager,Lager,12,4.0,32
Narragansett Summer Ale,Narragansett Brewing Company,RI,Northeast,Pale Ale,Ale,12,4.2,24
Hans' Pils (2015),Real Ale Brewing Company,TX,South,German Lager,Lager,12,5.3,52
Double Bag,Long Trail Brewing Company,VT,Northeast,German Ale,Ale,16,7.2,33
Hop Notch IPA (2013),Uinta Brewing Company,UT,West,IPA,Strong Ale,12,7.3,82
Cutthroat Pale Ale,Uinta Brewing Company,UT,West,Pale Ale,Ale,12,4.0,34
Four Squared (2015),Real Ale Brewing Company,TX,South,Pale Ale,Ale,12,6.0,50
Rise-Up Red (2014),Hopworks Urban Brewery,OR,West,Dark Ale,Dark,16,5.8,60
RecreationAle,Terrapin Brewing Company,GA,South,Pale Ale,Ale,12,4.7,42
Hop Happy,Milwaukee Brewing Company,WI,Midwest,IPA,Strong Ale,16,7.5,51
Epicenter Amber Ale,SanTan Brewing Company,AZ,West,Dark Ale,Dark,12,5.5,20
SanTan HefeWeizen,SanTan Brewing Company,AZ,West,German Ale,Ale,12,5.0,15
Hop Shock IPA,SanTan Brewing Company,AZ,West,IPA,Strong Ale,12,7.0,85
Longboard Island Lager,Kona Brewing Company,HI,West,Lager,Lager,12,4.6,18
Barn Burner Saison,Karbach Brewing Company,TX,South,Ale - Other,Ale,12,6.6,20
Disconnected Red,Big Choice Brewing,CO,West,Dark Ale,Dark,16,6.7,85
Dale's Pale Ale,Oskar Blues Brewery (North Carol...,NC,South,Pale Ale,Ale,12,6.5,65
Vanilla Bean Buffalo Sweat,Tallgrass Brewing Company,KS,Midwest,Stout / Porter,Dark,16,5.0,20
The Hole in Hadrian's Wall,Okoboji Brewing Company,IA,Midwest,Strong Ale,Strong Ale,16,9.5,19
33 Select Brown Ale,Okoboji Brewing Company,IA,Midwest,Dark Ale,Dark,16,6.5,26
South Ridge Amber Ale,Crystal Springs Brewing Company,CO,West,Dark Ale,Dark,16,6.0,31
The Lawn Ranger,Cedar Creek Brewery,TX,South,Pale Ale,Ale,16,5.0,18
Bourbon Barrel Johan,Sun King Brewing Company,IN,Midwest,Strong Ale,Strong Ale,16,9.9,60
Outlaw IPA,Payette Brewing Company,ID,West,IPA,Strong Ale,12,6.2,65
Back in the Saddle Rye Pale Ale,Mavericks Beer Company,CA,West,Pale Ale,Ale,12,3.7,53
Atom Smasher,Two Brothers Brewing Company,IL,Midwest,German Lager,Lager,12,7.7,23
Bronx Pale Ale,The Bronx Brewery,NY,Northeast,Pale Ale,Ale,16,6.3,50
Fireside Chat,21st Amendment Brewery,CA,West,Dark Ale,Dark,12,7.9,45
Watership Brown Ale,Red Hare Brewing Company,GA,South,Dark Ale,Dark,12,7.2,55
3Beans,Sixpoint Craft Ales,NY,Northeast,Stout / Porter,Dark,12,9.9,85
Sculpin IPA,Ballast Point Brewing Company,CA,West,IPA,Strong Ale,12,7.0,70
Ethos IPA,Tallgrass Brewing Company,KS,Midwest,IPA,Strong Ale,16,6.8,110
Orange Wheat,Hangar 24 Craft Brewery,CA,West,Sour,Other,12,4.6,17
Hangar 24 Helles Lager,Hangar 24 Craft Brewery,CA,West,German Lager,Lager,12,4.3,14
Red Cockaded Ale (2013),Southern Star Brewing Company,TX,South,IPA,Strong Ale,12,8.5,110
Old Potentate,Southern Star Brewing Company,TX,South,Strong Ale,Strong Ale,12,7.2,40
Tallgrass Pub Ale,Tallgrass Brewing Company,KS,Midwest,Dark Ale,Dark,16,4.4,12
Elevation Triple India Pale Ale,Renegade Brewing Company,CO,West,IPA,Strong Ale,12,9.9,100
5:00 O'Clock Afternoon Ale,Renegade Brewing Company,CO,West,Pale Ale,Ale,16,5.0,25
Good People Pale Ale,Good People Brewing Company,AL,South,Pale Ale,Ale,12,5.6,36
Watershed IPA (2013),Oakshire Brewing,OR,West,IPA,Strong Ale,12,6.7,70
Winterfest,Sockeye Brewing Company,ID,West,Strong Ale,Strong Ale,16,8.4,90
Get Up Offa That Brown,Golden Road Brewing,CA,West,Dark Ale,Dark,16,5.5,20
Loose Cannon,Heavy Seas Beer,MD,South,IPA,Strong Ale,12,7.2,45
AARGHtoberfest!,Heavy Seas Beer,MD,South,German Lager,Lager,12,6.0,30
Morning Wood,Big Wood Brewery,MN,Midwest,Stout / Porter,Dark,16,5.5,35
Bark Bite IPA,Big Wood Brewery,MN,Midwest,IPA,Strong Ale,16,6.6,50
Bitter Bitch Imperial IPA,Astoria Brewing Company,OR,West,IPA,Strong Ale,12,8.2,138
Old Red Beard Amber Ale,Astoria Brewing Company,OR,West,Dark Ale,Dark,12,6.0,35
WYLD Extra Pale Ale,Uinta Brewing Company,UT,West,Pale Ale,Ale,12,4.0,29
Rude Parrot IPA,7 Seas Brewing Company,WA,West,IPA,Strong Ale,16,5.9,75
Phat Chance,Wild Onion Brewing Company,IL,Midwest,Pale Ale,Ale,12,5.2,27
Des Moines IPA,Confluence Brewing Company,IA,Midwest,IPA,Strong Ale,16,6.8,75
Capital Gold Golden Lager,Confluence Brewing Company,IA,Midwest,German Lager,Lager,16,4.8,22
Farmer John's Multi-Grain Ale,Confluence Brewing Company,IA,Midwest,Pale Ale,Ale,16,5.6,21
Black IPA,Santa Fe Brewing Company,NM,West,Dark Ale,Dark,12,7.1,95
Topcutter India Pale Ale,Bale Breaker Brewing Company,WA,West,IPA,Strong Ale,12,6.8,70
Field 41 Pale Ale,Bale Breaker Brewing Company,WA,West,Pale Ale,Ale,12,4.4,38
Mac's Scottish Style Amber Ale (2000),MacTarnahans Brewing Company,OR,West,Dark Ale,Dark,12,5.1,32
Wisco Disco,Stillmank Beer Company,WI,Midwest,Dark Ale,Dark,16,5.1,31
Shift (1),New Belgium Brewing Company,CO,West,Lager,Lager,12,5.0,29
Alloy,Tin Man Brewing Company,IN,Midwest,IPA,Strong Ale,16,5.8,36
Twister Creek India Pale Ale,Denali Brewing Company,AK,West,IPA,Strong Ale,12,6.5,71
Dallas Blonde,Deep Ellum Brewing Company,TX,South,Pale Ale,Ale,12,5.2,23
Long Hammer IPA,Redhook Brewery,WA,West,IPA,Strong Ale,16,6.5,44
Deep Ellum IPA,Deep Ellum Brewing Company,TX,South,IPA,Strong Ale,12,7.0,70
Gangway IPA,Red Hare Brewing Company,GA,South,IPA,Strong Ale,12,6.2,55
Fascist Pig Ale,Finch's Beer Company,IL,Midwest,Dark Ale,Dark,16,8.0,72
Booyah Farmhouse Ale,Milwaukee Brewing Company,WI,Midwest,Ale - Other,Ale,16,6.5,20
Great Crescent Oktoberfest Lager,Great Crescent Brewery,IN,Midwest,German Lager,Lager,16,5.7,25
Belgorado,Wynkoop Brewing Company,CO,West,IPA,Strong Ale,12,6.7,45
Sly Fox Christmas Ale 2012 (2012),Sly Fox Brewing Company,PA,Northeast,Dark Ale,Dark,12,5.5,16
Lily Flagg Milk Stout,Straight to Ale,AL,South,Stout / Porter,Dark,12,5.0,30
Deadicated Amber,Devil's Canyon Brewery,CA,West,Dark Ale,Dark,16,5.4,27
The Velvet Fog,Sun King Brewing Company,IN,Midwest,Belgian,Ale,16,9.0,24
Northern Lights Amber Ale,Broken Tooth Brewing Company,AK,West,Dark Ale,Dark,12,5.0,15
Polar Pale Ale,Broken Tooth Brewing Company,AK,West,Pale Ale,Ale,12,5.2,17
Frankenlou's IPA,Seven Brides Brewery,OR,West,IPA,Strong Ale,16,7.0,105
Abominable Winter Ale (2012),Hopworks Urban Brewery,OR,West,Strong Ale,Strong Ale,16,7.3,70
Ex Umbris Rye Imperial Stout,Hess Brewing Company,CA,West,Stout / Porter,Dark,16,9.9,85
Harvest Ale,Fremont Brewing Company,WA,West,Ale - Other,Ale,12,6.5,35
Loki Red Ale (2013),Fearless Brewing Company,OR,West,Dark Ale,Dark,16,7.5,53
Odyssey Imperial IPA,Sly Fox Brewing Company,PA,Northeast,IPA,Strong Ale,12,8.4,90
Wheat the People,Coalition Brewing Company,OR,West,Pale Ale,Ale,16,4.4,13
Dale's Pale Ale (10 Year Anniversary),Oskar Blues Brewery,CO,West,Pale Ale,Ale,12,6.5,65
Payette Pale Ale,Payette Brewing Company,ID,West,Pale Ale,Ale,12,4.8,35
CAPT Black IPA,Ruhstaller Beer Company,CA,West,Dark Ale,Dark,16,7.3,55
1881 California Red Ale,Ruhstaller Beer Company,CA,West,Dark Ale,Dark,16,5.6,35
Hop Abomination,Dry Dock Brewing Company,CO,West,IPA,Strong Ale,12,6.6,100
Apricot Blonde,Dry Dock Brewing Company,CO,West,Sour,Other,12,5.1,17
Dagger Falls IPA,Sockeye Brewing Company,ID,West,IPA,Strong Ale,12,6.3,100
Lawnmower Lager,Caldera Brewing Company,OR,West,Lager,Lager,12,3.9,16
Bitter American,21st Amendment Brewery,CA,West,Pale Ale,Ale,12,4.4,42
Fremont Summer Ale,Fremont Brewing Company,WA,West,Pale Ale,Ale,12,6.5,45
Sun King Oktoberfest,Sun King Brewing Company,IN,Midwest,German Lager,Lager,16,5.5,23
Dry Dock Hefeweizen,Dry Dock Brewing Company,CO,West,German Ale,Ale,12,4.3,12
Dry Dock Amber Ale,Dry Dock Brewing Company,CO,West,Dark Ale,Dark,12,5.8,49
British Pale Ale (2010),7 Seas Brewing Company,WA,West,Pale Ale,Ale,16,5.4,30
Widespread Wit,Great River Brewery,IA,Midwest,Belgian,Ale,16,5.5,10
483 Pale Ale,Great River Brewery,IA,Midwest,Pale Ale,Ale,16,5.3,48
Cane and Ebel,Two Brothers Brewing Company,IL,Midwest,Strong Ale,Strong Ale,12,7.0,68
Universale Pale Ale,Fremont Brewing Company,WA,West,Pale Ale,Ale,12,5.6,30
Interurban IPA,Fremont Brewing Company,WA,West,IPA,Strong Ale,12,6.5,80
Bombshell Blonde,Southern Star Brewing Company,TX,South,Pale Ale,Ale,16,5.0,20
Special Amber,Sprecher Brewing Company,WI,Midwest,Lager,Lager,12,5.0,22
PRO-AM (2012) (2012),Southern Star Brewing Company,TX,South,IPA,Strong Ale,12,9.9,100
On the Wings of Armageddon,DC Brau Brewing Company,DC,South,IPA,Strong Ale,12,9.2,115
Devil’s Ale,SanTan Brewing Company,AZ,West,Pale Ale,Ale,12,5.5,45
Desolation IPA,Amnesia Brewing Company,WA,West,IPA,Strong Ale,16,6.2,43
Firemans #4 Blonde Ale (2015),Real Ale Brewing Company,TX,South,Pale Ale,Ale,12,5.1,21
Dale's Pale Ale (2012),Oskar Blues Brewery,CO,West,Pale Ale,Ale,12,6.5,65
Tonganoxie Honey Wheat,High Noon Saloon And Brewery,KS,Midwest,Pale Ale,Ale,12,4.4,22
Point Nude Beach Summer Wheat,Stevens Point Brewery,WI,Midwest,Pale Ale,Ale,12,5.0,7
Boont Amber Ale (2010),Anderson Valley Brewing Company,CA,West,Dark Ale,Dark,12,5.8,15
Hoopla Pale Ale,Boulder Beer Company,CO,West,Pale Ale,Ale,12,5.7,35
Gordon Imperial Red (2010),Oskar Blues Brewery,CO,West,IPA,Strong Ale,12,8.7,85
Gordon (2005),Oskar Blues Brewery,CO,West,IPA,Strong Ale,12,9.2,85
Ten Fidy Imperial Stout (2008),Oskar Blues Brewery,CO,West,Stout / Porter,Dark,12,9.5,98
Ten Fidy Imperial Stout (2007),Oskar Blues Brewery,CO,West,Stout / Porter,Dark,12,9.9,98
Hell or High Watermelon Wheat (2009),21st Amendment Brewery,CA,West,Sour,Other,12,4.9,17
Hell or High Watermelon Wheat (2009),21st Amendment Brewery,CA,West,Sour,Other,12,4.9,17
21st Amendment Watermelon Wheat Beer (2006),21st Amendment Brewery,CA,West,Sour,Other,12,4.9,17
21st Amendment IPA (2006),21st Amendment Brewery,CA,West,IPA,Strong Ale,12,7.0,70
Brew Free! or Die IPA (2008),21st Amendment Brewery,CA,West,IPA,Strong Ale,12,7.0,70
Brew Free! or Die IPA (2009),21st Amendment Brewery,CA,West,IPA,Strong Ale,12,7.0,70
Ashland Amber Ale (2009),Caldera Brewing Company,OR,West,Dark Ale,Dark,12,5.4,24
Caldera IPA (2009),Caldera Brewing Company,OR,West,IPA,Strong Ale,12,6.1,94
Caldera IPA (2007),Caldera Brewing Company,OR,West,IPA,Strong Ale,12,6.1,94
Caldera Pale Ale (2010),Caldera Brewing Company,OR,West,Pale Ale,Ale,12,5.6,55
Caldera Pale Ale (2009),Caldera Brewing Company,OR,West,Pale Ale,Ale,12,5.6,55
Caldera Pale Ale (2005),Caldera Brewing Company,OR,West,Pale Ale,Ale,12,5.6,55
Caldera Pale Ale (2007),Caldera Brewing Company,OR,West,Pale Ale,Ale,12,5.6,55
Old Chub (2008),Oskar Blues Brewery,CO,West,Strong Ale,Strong Ale,12,8.0,35
Old Chub (2004),Oskar Blues Brewery,CO,West,Strong Ale,Strong Ale,12,8.0,35
Old Chub (2003),Oskar Blues Brewery,CO,West,Strong Ale,Strong Ale,12,8.0,35
Choc Beer (2003),Krebs Brewing Company (Pete's Pl...,OK,South,Dark Ale,Dark,12,4.0,9
Brownstone,Sixpoint Craft Ales,NY,Northeast,Dark Ale,Dark,16,5.9,47
Mr. Pineapple,SanTan Brewing Company,AZ,West,Sour,Other,12,5.0,20
